id;macrorregiao;grupo;mantenedor;cultivar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;1;GRUPO I;EMBRAPA SOJA;BRS 284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;1;GRUPO II;EMBRAPA SOJA;BRS 295 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;1;GRUPO II;EMBRAPA SOJA;BRS 316 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;1;GRUPO II;EMBRAPA SOJA;BRS 317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;1;GRUPO I;EMBRAPA SOJA;BRS 359 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;1;GRUPO I;EMBRAPA SOJA;BRS 360 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;1;GRUPO I;EMBRAPA SOJA;BRS 378 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;2;GRUPO I;EMBRAPA SOJA;BRS 388 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;2;GRUPO I;EMBRAPA SOJA;BRS 391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;2;GRUPO I;EMBRAPA SOJA;BRS 397 CV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;1;GRUPO I;EMBRAPA SOJA;BRS 399 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;1;GRUPO I;EMBRAPA SOJA;BRS 413 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;2;GRUPO I;EMBRAPA SOJA;BRS 414 CV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;1;GRUPO I;EMBRAPA SOJA;BRS 433 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;1;GRUPO II;EMBRAPA SOJA;BRS 511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;1;GRUPO I;EMBRAPA SOJA;BRS 5601 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;1;GRUPO I;EMBRAPA SOJA;BRS 5804 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;1;GRUPO I;EMBRAPA SOJA;BRS 6203 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;1;GRUPO I;EMBRAPA SOJA;BRS ESTÂNCIA RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;1;GRUPO II;EMBRAPA SOJA;EMBRAPA 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;1;GRUPO I;EXPO GRAIN COMÉRCIO DE SEMENTES EIRELI;BA 5770 XI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;1;GRUPO I;EXPO GRAIN COMÉRCIO DE SEMENTES EIRELI;BA 6011 XI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;1;GRUPO I;EXPO GRAIN COMÉRCIO DE SEMENTES EIRELI;BA 6230 XI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;1;GRUPO I;EXPO GRAIN COMÉRCIO DE SEMENTES EIRELI;BA 6380 XI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;1;GRUPO II;EXPO GRAIN COMÉRCIO DE SEMENTES EIRELI;BA 6525 XI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;1;GRUPO II;FEPAGRO;FEPAGRO 36 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;1;GRUPO I;FEPAGRO;FEPAGRO 37 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;1;GRUPO I;FTS SEMENTES S/A;FTR 1154 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;1;GRUPO I;FTS SEMENTES S/A;FTR 1157 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;1;GRUPO I;FTS SEMENTES S/A;FTR 2155 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;1;GRUPO I;FTS SEMENTES S/A;FTR 2161 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;1;GRUPO I;FTS SEMENTES S/A;FTR 2557 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;1;GRUPO I;FTS SEMENTES S/A;FTR 3156 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;1;GRUPO I;FTS SEMENTES S/A;FTR 4153 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;1;GRUPO I;FTS SEMENTES S/A;FTR 4160 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;1;GRUPO II;FTS SEMENTES S/A;FTS ARAPOTY RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;1;GRUPO II;FTS SEMENTES S/A;FTS CAMPO MOURÃO RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;1;GRUPO II;FTS SEMENTES S/A;FTS FENIX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;1;GRUPO I;FTS SEMENTES S/A;FTS IBYARA RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;1;GRUPO II;FTS SEMENTES S/A;FTS IPÊ RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;1;GRUPO III;FTS SEMENTES S/A;FTS REALEZA RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;1;GRUPO I;FTS SEMENTES S/A;FTS SEMENTES S/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;1;GRUPO II;FTS SEMENTES S/A;FTS TAPES RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;1;GRUPO I;GAÚCHA MELHORAMENTO;GMX APORREADA RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;1;GRUPO I;GAÚCHA MELHORAMENTO;GMX CANCHEIRO RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;1;GRUPO I;GAÚCHA MELHORAMENTO;GMX GUAPO RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;1;GRUPO I;GAÚCHA MELHORAMENTO;GMX GURI RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;1;GRUPO II;GAÚCHA MELHORAMENTO;GMX REDOMÃO RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;1;GRUPO II;GAÚCHA MELHORAMENTO;GMX REDOMONA RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
